"coffeid","typeid","value"
15,2,"ethiopia commodity exchange"
15,3,"Ethiopia"
15,4,"aolme"
15,5,"c.p.w.e"
15,6,""
15,7,"oromiya"
15,8,"Bazen Agricultural & Industrial Dev't Plc"
15,9,"60 kg"
15,10,"Ethiopia Commodity Exchange"
15,11,"March 2010"
15,12,""
15,13,""
15,14,""
15,15,"Ethiopia Commodity Exchange"
15,16,"m"
16,1,"Arabica"
16,2,"cqi q coffee sample representative"
16,3,"United States"
16,4,"el AfA!guila"
16,5,""
16,6,"coffee quality institute"
16,7,"antioquia"
16,8,"MarAfA-a Leticia Diosa"
16,9,"1 kg"
16,10,"AlmacafAfA(C)"
16,11,"2014"
16,12,"Other"
16,13,"Washed / Wet"
16,14,""
16,15,"AlmacafAfA(C)"
16,16,"m"
17,1,"Arabica"
17,2,"grounds for health admin"
17,3,"Indonesia"
17,4,"toarco jaya"
17,5,""
17,6,""
17,7,"sulawesi"
17,8,"P.T. Toarco Jaya"
17,9,"2 kg,lbs"
17,10,"Specialty Coffee Association"
17,11,"May-August"
17,12,""
17,13,""
17,14,""
17,15,"Specialty Coffee Association"
17,16,"m"
18,1,"Arabica"
18,2,"ethiopia commodity exchange"
18,3,"Ethiopia"
18,4,""
18,5,""
18,6,""
18,7,"yirgacheffe"
18,8,"Green Gold Ethiopia | Phone: 0114342032"
18,9,"6"
18,10,"Ethiopia Commodity Exchange"
18,11,"2009/2010"
18,12,""
18,13,""
18,14,""
18,15,"Ethiopia Commodity Exchange"
18,16,"m"
19,1,"Arabica"
19,2,"yunnan coffee exchange"
19,3,"China"
19,4,"echo coffee"
19,5,"echo coffee mill"
19,6,"yunnan coffee exchange"
19,7,"yunnan"
19,8,"Echo Coffee"
19,9,"60 kg"
19,10,"Yunnan Coffee Exchange"
19,11,"2015"
19,12,"Catimor"
19,13,"Washed / Wet"
19,14,"Green"
19,15,"Yunnan Coffee Exchange"
19,16,"m"
20,1,"Arabica"
20,2,"essencecoffee"
20,3,"Ethiopia"
20,4,"drima zede"
20,5,"drima zede"
20,6,"essence coffee"
20,7,"gedio"
20,8,"LevelUp"
20,9,"60 kg"
20,10,"Blossom Valley International"
20,11,"2014"
20,12,"Ethiopian Yirgacheffe"
20,13,"Natural / Dry"
20,14,""
20,15,"Blossom Valley International"
20,16,"m"
21,1,"Arabica"
21,2,"cqi q coffee sample representative"
21,3,"United States"
21,4,"el rodeo"
21,5,""
21,6,"coffee quality institute"
21,7,"antioquia"
21,8,"NicolAfA!s Rueda Urrego"
21,9,"1 kg"
21,10,"AlmacafAfA(C)"
21,11,"2014"
21,12,"Other"
21,13,"Washed / Wet"
21,14,"None"
21,15,"AlmacafAfA(C)"
21,16,"m"
22,1,"Arabica"
22,2,"the coffee source inc."
22,3,"Costa Rica"
22,4,"several"
22,5,"cafe altura de san ramon"
22,6,"the coffee source inc."
22,7,"san ramon"
22,8,"SEVERAL"
22,9,"3 lbs"
22,10,"Specialty Coffee Association"
22,11,"2014"
22,12,"Caturra"
22,13,"Washed / Wet"
22,14,"Green"
22,15,"Specialty Coffee Association"
22,16,"m"
23,1,"Arabica"
23,2,"roberto licona franco"
23,3,"Mexico"
23,4,"la herradura"
23,5,"la herradura"
23,6,""
23,7,"xalapa"
23,8,"ROBERTO LICONA FRANCO"
23,9,"1 kg"
23,10,"AMECAFE"
23,11,"2012"
23,12,"Other"
23,13,"Washed / Wet"
23,14,"Green"
23,15,"AMECAFE"
23,16,"m"
24,1,"Arabica"
24,2,"cqi q coffee sample representative"
24,3,"United States"
24,4,"la curva"
24,5,""
24,6,"coffee quality institute"
24,7,"antioquia"
24,8,"Silvia Elena Higuita"
24,9,"1 kg"
24,10,"AlmacafAfA(C)"
24,11,"2014"
24,12,"Other"
24,13,"Washed / Wet"
24,14,""
24,15,"AlmacafAfA(C)"
24,16,"m"
25,1,"Arabica"
25,2,"ji-ae ahn"
25,3,"Ethiopia"
25,4,""
25,5,""
25,6,""
25,7,"sidamo"
25,8,""
25,9,"60 kg"
25,10,"Specialty Coffee Institute of Asia"
25,11,"2013"
25,12,""
25,13,"Natural / Dry"
25,14,"Bluish-Green"
25,15,"Specialty Coffee Institute of Asia"
25,16,"m"
26,1,"Arabica"
26,2,"nucoffee"
26,3,"Brazil"
26,4,"fazenda kaquend"
26,5,""
26,6,"nucoffee"
26,7,"south of minas"
26,8,"Ralph Junqueira"
26,9,"60 kg"
26,10,"NUCOFFEE"
26,11,"2011"
26,12,"Bourbon"
26,13,"Natural / Dry"
26,14,"Green"
26,15,"NUCOFFEE"
26,16,"m"
27,1,"Arabica"
27,2,"ethiopia commodity exchange"
27,3,"Ethiopia"
27,4,""
27,5,""
27,6,""
27,7,"sidamo"
27,8,"Green Gold Ethiopia | Phone: 0114342032"
27,9,"6"
27,10,"Ethiopia Commodity Exchange"
27,11,"2009/2010"
27,12,""
27,13,""
27,14,""
27,15,"Ethiopia Commodity Exchange"
27,16,"m"
28,1,"Arabica"
28,2,"kabum trading company"
28,3,"Uganda"
28,4,"chebonet (23) women coffee"
28,5,"kabum trading company"
28,6,"kabum trading company"
28,7,"kapchorwa eastern"
28,8,"Kabum trading company"
28,9,"60 kg"
28,10,"Uganda Coffee Development Authority"
28,11,"2013"
28,12,"SL14"
28,13,"Washed / Wet"
28,14,"Green"
28,15,"Uganda Coffee Development Authority"
28,16,"m"
29,1,"Arabica"
29,2,"bismarck castro"
29,3,"Honduras"
29,4,"los hicaques"
29,5,"cigrah s.a de c.v."
29,6,"cigrah s.a de c.v"
29,7,"comayagua"
29,8,"Reinerio Zepeda"
29,9,"69 kg"
29,10,"Instituto HondureAfA+/-o del CafAfA(C)"
29,11,"2016"
29,12,"Caturra"
29,13,""
29,14,"Green"
29,15,"Instituto HondureAfA+/-o del CafAfA(C)"
29,16,"m"
30,1,"Arabica"
30,2,"lin, che-hao krude ???"
30,3,"Taiwan"
30,4,"tsoustructive garden ???"
30,5,"tsoustructive garden ???"
30,6,"taiwan coffee laboratory"
30,7,"leye, alishan township, chiayi county"
30,8,"FANG,ZHENG-LUN ???"
30,9,"50 kg"
30,10,"Specialty Coffee Association"
30,11,"2015"
30,12,"Sumatra"
30,13,"Pulped natural / honey"
30,14,"Green"
30,15,"Specialty Coffee Association"
30,16,"m"
31,1,"Arabica"
31,2,"nora zeas"
31,3,"Nicaragua"
31,4,""
31,5,"beneficio atlantic condega"
31,6,""
31,7,""
31,8,""
31,9,"6"
31,10,"Specialty Coffee Association"
31,11,""
31,12,""
31,13,""
31,14,""
31,15,"Specialty Coffee Association"
31,16,"m"
32,1,"Arabica"
32,2,"specialty coffee-korea"
32,3,"Tanzania, United Republic Of"
32,4,""
32,5,""
32,6,""
32,7,""
32,8,""
32,9,"60 kg"
32,10,"Specialty Coffee Institute of Asia"
32,11,"2012"
32,12,""
32,13,"Natural / Dry"
32,14,"Bluish-Green"
32,15,"Specialty Coffee Institute of Asia"
32,16,"m"
33,1,"Arabica"
33,2,"nucoffee"
33,3,"Brazil"
33,4,"fazenda recreio"
33,5,""
33,6,"nucoffee"
33,7,"vale da grama"
33,8,"Homero Texeira de Macedo Junior"
33,9,"60 kg"
33,10,"NUCOFFEE"
33,11,"2011"
33,12,"Bourbon"
33,13,"Natural / Dry"
33,14,"Green"
33,15,"NUCOFFEE"
33,16,"m"
34,1,"Arabica"
34,2,"francisco a mena"
34,3,"Costa Rica"
34,4,"exclusive coffees s.a."
34,5,"exclusive coffees s.a,"
34,6,"exclusive coffees s.a."
34,7,"west and central valley"
34,8,"Exclusive Coffees S.A."
34,9,"2 lbs"
34,10,"Specialty Coffee Association of Costa Rica"
34,11,"2015/2016"
34,12,"Caturra"
34,13,"Washed / Wet"
34,14,"Blue-Green"
34,15,"Specialty Coffee Association of Costa Rica"
34,16,"m"
35,1,"Arabica"
35,2,"hider abamecha"
35,3,"Ethiopia"
35,4,"haider abamecha coffee plantation"
35,5,"faysal abamecha processing plant at yebu town"
35,6,"haider abamecha coffee export"
35,7,"oromia"
35,8,"Haider Abamecha Abadiko"
35,9,"60 kg"
35,10,"METAD Agricultural Development plc"
35,11,"2014"
35,12,""
35,13,"Natural / Dry"
35,14,"Green"
35,15,"METAD Agricultural Development plc"
35,16,"m"
36,1,"Arabica"
36,2,"daniel magu"
36,3,"Kenya"
36,4,"kangunu"
36,5,"central kenya coffee mills"
36,6,"c dorman ltd"
36,7,"muranga"
36,8,"Kangunu"
36,9,"1 kg"
36,10,"Kenya Coffee Traders Association"
36,11,"2013"
36,12,"SL34"
36,13,"Washed / Wet"
36,14,"Blue-Green"
36,15,"Kenya Coffee Traders Association"
36,16,"m"
37,1,"Arabica"
37,2,"kona pacific farmers cooperative"
37,3,"United States (Hawaii)"
37,4,""
37,5,""
37,6,"kona pacific farmers cooperative"
37,7,"kona"
37,8,""
37,9,"100 lbs"
37,10,"Specialty Coffee Association"
37,11,"2012"
37,12,"Hawaiian Kona"
37,13,"Natural / Dry"
37,14,""
37,15,"Specialty Coffee Association"
37,16,"ft"
38,1,"Arabica"
38,2,"kona pacific farmers cooperative"
38,3,"United States (Hawaii)"
38,4,"kona pacific farmers cooperative"
38,5,""
38,6,""
38,7,"kona"
38,8,"Kona Pacific Farmers Co-Op"
38,9,"100 lbs"
38,10,"Specialty Coffee Association"
38,11,"2010"
38,12,""
38,13,""
38,14,""
38,15,"Specialty Coffee Association"
38,16,"ft"
39,1,"Arabica"
39,2,"ethiopia commodity exchange"
39,3,"Ethiopia"
39,4,"phone number | 0911-51-08-01, email | at"
39,5,""
39,6,""
39,7,"yirgacheffe"
39,8,"Contact name | ATO Teshome Belamo"
39,9,"6"
39,10,"Ethiopia Commodity Exchange"
39,11,"2009/2010"
39,12,""
39,13,""
39,14,""
39,15,"Ethiopia Commodity Exchange"
39,16,"m"
40,1,"Arabica"
40,2,"cqi q coffee sample representative"
40,3,"United States"
40,4,"la primavera"
40,5,""
40,6,"coffee quality institute"
40,7,"antioquia"
40,8,"Hugo SepAfAlveda Montoya"
40,9,"1 kg"
40,10,"AlmacafAfA(C)"
40,11,"2014"
40,12,"Other"
40,13,"Washed / Wet"
40,14,""
40,15,"AlmacafAfA(C)"
40,16,"m"
41,1,"Arabica"
41,2,"itdp international"
41,3,"Thailand"
41,4,"co-op #12"
41,5,""
41,6,"lanna cafe"
41,7,"chiang rai"
41,8,"ITDP"
41,9,"1 kg"
41,10,"Specialty Coffee Association"
41,11,"2012"
41,12,"Caturra"
41,13,"Washed / Wet"
41,14,"Green"
41,15,"Specialty Coffee Association"
41,16,"m"
42,1,"Arabica"
42,2,"jacques pereira carneiro"
42,3,"Brazil"
42,4,"pereira estate coffee"
42,5,"cocarive"
42,6,""
42,7,"sul de minas - carmo de minas"
42,8,"Maria Rogeria Costa Pereira"
42,9,"60 kg"
42,10,"Specialty Coffee Association"
42,11,"2010"
42,12,"Yellow Bourbon"
42,13,""
42,14,""
42,15,"Specialty Coffee Association"
42,16,"m"
43,1,"Arabica"
43,2,"jacques pereira carneiro"
43,3,"Brazil"
43,4,"pereira estate coffee"
43,5,"cocarive"
43,6,""
43,7,"sul de minas - carmo de minas"
43,8,"Maria Rogeria Costa Pereira"
43,9,"60 kg"
43,10,"Specialty Coffee Association"
43,11,"2010"
43,12,"Yellow Bourbon"
43,13,""
43,14,""
43,15,"Specialty Coffee Association"
43,16,"m"
44,1,"Arabica"
44,2,"lin, che-hao krude ???"
44,3,"Taiwan"
44,4,"sunshine valley estate ??????"
44,5,"sunshine valley estate ??????"
44,6,"taiwan coffee laboratory"
44,7,"natou county"
44,8,"LIN YEN CHIEN ???"
44,9,"15 kg"
44,10,"Specialty Coffee Association"
44,11,"2015"
44,12,"Bourbon"
44,13,"Semi-washed / Semi-pulped"
44,14,"Green"
44,15,"Specialty Coffee Association"
44,16,"m"
45,1,"Arabica"
45,2,"jungle estate"
45,3,"Kenya"
45,4,"jungle estate"
45,5,"nkg coffee mills"
45,6,"keremara limited"
45,7,"nyeri"
45,8,"JUNGLE ESTATE"
45,9,"60 kg"
45,10,"Kenya Coffee Traders Association"
45,11,"2014"
45,12,"SL28"
45,13,"Natural / Dry"
45,14,"Bluish-Green"
45,15,"Kenya Coffee Traders Association"
45,16,"m"
46,1,"Arabica"
46,2,"nucoffee"
46,3,"Brazil"
46,4,"fazenda kaquend"
46,5,""
46,6,"nucoffee"
46,7,"south of minas"
46,8,"Ralph Junqueira"
46,9,"60 kg"
46,10,"NUCOFFEE"
46,11,"2011"
46,12,"Bourbon"
46,13,"Semi-washed / Semi-pulped"
46,14,"Blue-Green"
46,15,"NUCOFFEE"
46,16,"m"
47,1,"Arabica"
47,2,"great lakes coffee uganda"
47,3,"Uganda"
47,4,"kaasayi"
47,5,"great lakes coffee"
47,6,"ucda"
47,7,"eastern uganda"
47,8,"Kaasay Farmer Group"
47,9,"60 kg"
47,10,"Uganda Coffee Development Authority"
47,11,"2014"
47,12,""
47,13,"Semi-washed / Semi-pulped"
47,14,""
47,15,"Uganda Coffee Development Authority"
47,16,"m"
48,1,"Arabica"
48,2,"lusso lab"
48,3,"Colombia"
48,4,"ecobio colombia"
48,5,""
48,6,"lusso coffee lab"
48,7,"tolima"
48,8,""
48,9,"2 kg"
48,10,"Specialty Coffee Association"
48,11,"2013"
48,12,"Caturra"
48,13,"Washed / Wet"
48,14,"Green"
48,15,"Specialty Coffee Association"
48,16,"m"
49,1,"Arabica"
49,2,"lusso lab"
49,3,"Kenya"
49,4,"kianjavi"
49,5,""
49,6,"lusso coffee lab"
49,7,"kiambu"
49,8,""
49,9,"1 kg"
49,10,"Specialty Coffee Association"
49,11,"2013"
49,12,"SL28"
49,13,"Washed / Wet"
49,14,"Green"
49,15,"Specialty Coffee Association"
49,16,"m"
50,1,"Arabica"
50,2,"afca"
50,3,"Uganda"
50,4,""
50,5,""
50,6,"kawacom uganda ltd"
50,7,"sipi, mt elgon"
50,8,"Kawacom"
50,9,"60 kg"
50,10,"Africa Fine Coffee Association"
50,11,"2012"
50,12,"Other"
50,13,"Washed / Wet"
50,14,"Blue-Green"
50,15,"Africa Fine Coffee Association"
50,16,"m"
51,1,"Arabica"
51,2,"ethiopia commodity exchange"
51,3,"Ethiopia"
51,4,"contact | sidacoop@ethionet.net"
51,5,"coffee processing and warehouse enterpri"
51,6,""
51,7,"sidamo"
51,8,"Sidama Coffee Farmers Coop. Union"
51,9,"6"
51,10,"Ethiopia Commodity Exchange"
51,11,"2009/2010"
51,12,""
51,13,""
51,14,""
51,15,"Ethiopia Commodity Exchange"
51,16,"m"
52,1,"Arabica"
52,2,"grounds for health admin"
52,3,"United States (Hawaii)"
52,4,"hula daddy kona coffee"
52,5,""
52,6,""
52,7,"kona"
52,8,"Hula Daddy Kona Coffee"
52,9,"2"
52,10,"Specialty Coffee Association"
52,11,"Fall 2009"
52,12,""
52,13,""
52,14,""
52,15,"Specialty Coffee Association"
52,16,"ft"
53,1,"Arabica"
53,2,"juan luis alvarado romero"
53,3,"Guatemala"
53,4,"la esperanza y anexos"
53,5,"beneficio ixchel"
53,6,"unex guatemala, s.a."
53,7,"nuevo oriente"
53,8,"MARGARITA AVILA DE NUYENS"
53,9,"69 kg"
53,10,"Asociacion Nacional Del CafAfA(C)"
53,11,"2016"
53,12,"Bourbon"
53,13,"Washed / Wet"
53,14,"Green"
53,15,"Asociacion Nacional Del CafAfA(C)"
53,16,"m"
54,1,"Arabica"
54,2,"kawacom uganda ltd"
54,3,"Uganda"
54,4,"sipi organic coffee project"
54,5,"kawacom"
54,6,"kawacom uganda ltd"
54,7,"eastern"
54,8,"Kawacom (U)Ltd"
54,9,"60 kg"
54,10,"Uganda Coffee Development Authority"
54,11,"2013"
54,12,"SL14"
54,13,"Natural / Dry"
54,14,"Green"
54,15,"Uganda Coffee Development Authority"
54,16,"m"
55,1,"Arabica"
55,2,"exportadora de cafe condor s.a"
55,3,"Colombia"
55,4,""
55,5,"trilladora boananza"
55,6,"exportadora de cafe condor s.a"
55,7,"huila"
55,8,""
55,9,"70 kg"
55,10,"AlmacafAfA(C)"
55,11,"2013"
55,12,"Caturra"
55,13,"Washed / Wet"
55,14,"Blue-Green"
55,15,"AlmacafAfA(C)"
55,16,"m"
56,1,"Arabica"
56,2,"gonzalo hernandez"
56,3,"Panama"
56,4,"la berlina estate"
56,5,"beneficio casa ruiz s.a."
56,6,"ce specialty s.a."
56,7,"boquete"
56,8,"Plinio Ruiz"
56,9,"60 kg"
56,10,"Specialty Coffee Association of Costa Rica"
56,11,"2017"
56,12,"Gesha"
56,13,"Washed / Wet"
56,14,"Bluish-Green"
56,15,"Specialty Coffee Association of Costa Rica"
56,16,"m"
57,1,"Arabica"
57,2,"ibrahim hussien speciality coffee producer &export"
57,3,"Ethiopia"
57,4,""
57,5,"burka gudina"
57,6,"ibrahim hussien specality coffee product & exporter"
57,7,"oromia"
57,8,"Ibrahim Hussien Specialty Coffee Producer and Exporter"
57,9,"60 kg"
57,10,"METAD Agricultural Development plc"
57,11,"2014"
57,12,""
57,13,"Washed / Wet"
57,14,"Green"
57,15,"METAD Agricultural Development plc"
57,16,"m"
58,1,"Arabica"
58,2,"juan luis alvarado romero"
58,3,"Guatemala"
58,4,"valparaiso"
58,5,"beneficio valparaiso"
58,6,"sertrasa"
58,7,"acatenango"
58,8,"SERTRASA"
58,9,"1 kg"
58,10,"Asociacion Nacional Del CafAfA(C)"
58,11,"2012"
58,12,"Bourbon"
58,13,"Washed / Wet"
58,14,"Green"
58,15,"Asociacion Nacional Del CafAfA(C)"
58,16,"ft"
59,1,"Arabica"
59,2,"juan luis alvarado romero"
59,3,"Guatemala"
59,4,"finca el limon"
59,5,"beneficio serben"
59,6,"unicafe"
59,7,"nuevo oriente"
59,8,"WILLIAM ESTUARDO MARTINEZ PACHECO"
59,9,"1 kg"
59,10,"Asociacion Nacional Del CafAfA(C)"
59,11,"2012"
59,12,"Catuai"
59,13,"Washed / Wet"
59,14,"Bluish-Green"
59,15,"Asociacion Nacional Del CafAfA(C)"
59,16,"ft"
60,1,"Arabica"
60,2,"seid damtew coffee planataion"
60,3,"Ethiopia"
60,4,"seid damtew coffee planation"
60,5,"seid damtew coffee export and plantation"
60,6,"seid damtew coffee planation"
60,7,"addis ababa"
60,8,"seid damtew coffee export and plantation"
60,9,"19200 kg"
60,10,"METAD Agricultural Development plc"
60,11,"2017"
60,12,"Caturra"
60,13,"Natural / Dry"
60,14,"None"
60,15,"METAD Agricultural Development plc"
60,16,"m"
61,1,"Arabica"
61,2,"dane loraas"
61,3,"Peru"
61,4,""
61,5,""
61,6,"sustainable harvest"
61,7,"cajamarca"
61,8,""
61,9,"5 lbs"
61,10,"Specialty Coffee Association"
61,11,"2013"
61,12,""
61,13,"Washed / Wet"
61,14,"Green"
61,15,"Specialty Coffee Association"
61,16,"m"
62,1,"Arabica"
62,2,"colbran coffeelands, ltd."
62,3,"Papua New Guinea"
62,4,"tairora cherry A cent a,aoe bonta"
62,5,"baroida"
62,6,"cqi"
62,7,"eastern highlands province"
62,8,"Colbran CoffeeLands, Ltd."
62,9,"60 kg"
62,10,"Specialty Coffee Association"
62,11,"2012"
62,12,""
62,13,"Washed / Wet"
62,14,"Bluish-Green"
62,15,"Specialty Coffee Association"
62,16,"m"
63,1,"Arabica"
63,2,"atlantic specialty coffee"
63,3,"El Salvador"
63,4,"el majahual"
63,5,"j. hill y cia"
63,6,"atlantic specialty coffee"
63,7,"apaneca"
63,8,"Aida Batlle"
63,9,"2 kg"
63,10,"Specialty Coffee Association"
63,11,"2013"
63,12,"Bourbon"
63,13,"Washed / Wet"
63,14,"Blue-Green"
63,15,"Specialty Coffee Association"
63,16,"m"
64,1,"Arabica"
64,2,"lusso lab"
64,3,"El Salvador"
64,4,"finca la esmeralda"
64,5,"aqua caliente, j.j. borja nathan. s.a"
64,6,"lusso coffee lab"
64,7,"ataco, apaneca - ilamatepec mountain range"
64,8,"Oscar Roberto Murgas Linares"
64,9,"1 kg"
64,10,"Specialty Coffee Association"
64,11,"2012"
64,12,"Bourbon"
64,13,"Semi-washed / Semi-pulped"
64,14,"None"
64,15,"Specialty Coffee Association"
64,16,"m"
65,1,"Arabica"
65,2,"kona pacific farmers cooperative"
65,3,"United States (Hawaii)"
65,4,""
65,5,""
65,6,"kona pacific farmers cooperative"
65,7,"kona"
65,8,""
65,9,"100 lbs"
65,10,"Specialty Coffee Association"
65,11,"2012"
65,12,"Hawaiian Kona"
65,13,"Natural / Dry"
65,14,""
65,15,"Specialty Coffee Association"
65,16,"ft"
66,1,"Arabica"
66,2,"essencecoffee"
66,3,"Panama"
66,4,"elida estate"
66,5,"elida estate"
66,6,"essence coffee"
66,7,"boquete"
66,8,"Lamastus"
66,9,"60 kg"
66,10,"Blossom Valley International"
66,11,"2014"
66,12,"Caturra"
66,13,"Natural / Dry"
66,14,""
66,15,"Blossom Valley International"
66,16,"m"
67,1,"Arabica"
67,2,"essencecoffee"
67,3,"Kenya"
67,4,"inoi"
67,5,"inoi"
67,6,"essence coffee"
67,7,"kirinyaga"
67,8,""
67,9,"60 kg"
67,10,"Blossom Valley International"
67,11,"2014"
67,12,"SL28"
67,13,"Natural / Dry"
67,14,"Green"
67,15,"Blossom Valley International"
67,16,"m"
68,1,"Arabica"
68,2,"assefa belay coffee producer"
68,3,"Ethiopia"
68,4,""
68,5,""
68,6,"assefa belay coffee producer"
68,7,"oromia"
68,8,"Assefa Belay Coffee Producer"
68,9,"60 kg"
68,10,"METAD Agricultural Development plc"
68,11,"2015"
68,12,"Other"
68,13,"Natural / Dry"
68,14,"Green"
68,15,"METAD Agricultural Development plc"
68,16,"m"
69,1,"Arabica"
69,2,"kyagalanyi ltd"
69,3,"Uganda"
69,4,"buginyanya"
69,5,"kyagalanyi coffee ltd"
69,6,"kyagalanyi coffee ltd"
69,7,"bulambuli eastern region"
69,8,"Kyagalanyi coffee Ltd"
69,9,"60 kg"
69,10,"Uganda Coffee Development Authority"
69,11,"2013"
69,12,"SL14"
69,13,"Washed / Wet"
69,14,"Green"
69,15,"Uganda Coffee Development Authority"
69,16,"m"
70,1,"Arabica"
70,2,"juan luis alvarado romero"
70,3,"Guatemala"
70,4,"asoperc"
70,5,"beneficio exportacafe agua santa"
70,6,"exportcafe"
